??Title	Description	Creator	Subject	Date	Coverage - Geographic	Extent	Genre	Type of Material	Language	Note	Identifier	Provenance	Use Rights	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
																				
"House additions and alterations and outbuildings at 1630 York Place, Oak Bay, B.C., for Mrs. C.F. Armstrong"	"Item is an architectural drawing by Samuel Maclure prepared for Mrs. C.F. Armstrong of Oak Bay, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	1923-1928	"Oak Bay, British Columbia"	"1 of 34 drawings: 17 pencil on paper, 1 pencil & ink on paper, 11 ink on paper, 4 ink on linen, 1 blueprint; 55 x 84 cm or smaller "	architectural drawings AAT		eng	"Drawings for different projects ranging from proposal sketches to working drawings and a consultant's plan. Plans, elevations and details are represented in most projects. Additions to a two-storey house with basement and various new outbuildings on the grounds. A wing adds a trunk room in the basement, and a laundry on the ground floor. The roof of the latter forms a balcony off the boys' sleeping room on the second floor. Plans specify a rubble stone basement wall and wood-frame walls finished with roughcast. Another addition extends the maid's bedroom and adds a bathroom and closet over the porte cochere. Another bathroom is later added above this extension connecting with the boys' room. Two further second-floor bedrooms are added next to the boys' room (possibly above the first addition described above). A large terrace with rubble stone walls is added across the breadth of the east side of the house, and quarter-turn stairs descend from it. The terrace turns the northeast corner of the house and is surrounded by a two-storey structure next to the laundry addition. A new second-floor bedroom with lavatory and closet is built above a loggia on the ground floor or terrace level. Two sketch plans show wall, window and fireplace treatment of a living room extension. Outbuildings include five different proposals for a garden tea house, two designs for a change house, two proposals for garage additions and a large cruciform greenhouse with attached aviary. This house was originally designed for Judge Peter Secord Lampman in 1905 by F.M. Rattenbury and built in 1907-08. P.L. James and Hubert Savage designed further additions in 1930. Includes four sets of specifications (AP119-AP122). Contractors' signatures on various plans include Leggett & Girardeau (per. H. Leggett) and Hunter & Halket (per E.J. Hunter)."	"SC075, Acc. 1980-067, AP123"		"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/1948	1948	1949.jp2	/collection35/image/1949.jp2
"House for R.W. Gibson Esq., York Place, Oak Bay, Victoria, B.C."	"Item is an architectural drawing by Maclure & Lort prepared for Robert W. Gibson of Victoria, B.C."	Maclure & Lort (Firm)	Architecture	1919-1922	"1590 York Place, Oak Bay, B.C."	"1 of 103 drawings: 70 pencil on paper, 12 ink on paper, 21 blueprints; 135 x 92 cm or smaller"	architectural drawings AAT	Still Image	eng	"Plans, elevations, sections and details. Blueprints have heating system details and miscellaneous amendments added by hand. A detailed item list is available. Two-storey house with basement and attic. The basement comprises a tool room, lavatory, fuel room, furnace room, billiard room, two bedrooms, bathroom, laundry room and storeroom. The ground floor includes a porch, vestibule, coat room and adjoining lavatory, hall, drawing room, ingle, library, sun room, lavatory, dining room, kitchen, pantry, larder and servant's room. A large terrace extends the full length of the east side of the first floor. The second floor contains five bedrooms, boudoir, dressing room, three bathrooms, sleeping balcony and three other balconies. The attic consists of two bedrooms, a bathroom and box room. The exterior walls of concrete blocks are finished in roughcast. The working drawings are signed by R. Moncrieff, Robt. W. Gibson and S. Jane Gibson."	"SC075, Acc. 1980-067, AP659"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/2491	2491	2492.jp2	/collection35/image/2492.jp2
"Alterations & additions to bungalow for E.G. Beaumont, Esq., Discovery Island, B.C."	"Item is an architectural drawing by Samuel Maclure prepared for E.G. Beaumont, Esq. of Discovery Island, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	1/1/1922	"Discovery Island, B.C."	1 of 3 drawings: ink on paper; 35 x 73 cm	architectural drawings AAT	Still Image	eng	"Plans, elevations, section and details. Includes some pencil amendments. Additions to a one-storey house originally built in 1913 by Warburton Pike. To the rear of the existing cottage are added a bed-sitting room, bathroom and an enclosed porch. A storeroom is added to the side of the kitchen, and a new veranda wraps around two sides of the original structure."	"SC075, Acc. 1980-067, AP228"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/3950	3950	3951.jp2	/collection35/image/3951.jp2
																				
House at Oak Bay for Dr. H. Rundle Nelson	"Item is an architectural drawing by Samuel Maclure prepared for Dr. H. Rundle Nelson of Oak Bay, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	9/1/1909	"Oak Bay, B.C."	1 drawing: blueprint; 49 x 42 cm	architectural drawings AAT		eng	"Plans. Changes indicated in pencil. Two-storey house with basement. The basement includes a servant's room and laundry room. The ground floor comprises a vestibule with adjoining lavatory, consulting room, hall, drawing room, dining room, kitchen, pantry and veranda. The second floor consists of the gallery or upper hall, four bedrooms, bathroom and water closet."	"SC075, Acc. 1980-067, AP1279"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/3114	3114	3115.jp2	/collection35/image/3115.jp2
																				
																				
"Residence for the Royal Trust Co., Pemberton Road, Victoria, B.C."	"Item is an architectural drawing by Samuel Maclure prepared for Royal Trust Co. of Victoria, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	5/1/1923	"840 Pemberton Road, Victoria, B.C."	1 of 4 drawings: ink on linen; 32 x 53 cm	architectural drawings AAT	Still Image	eng	"Plans, elevations and section. Two-storey house with part basement. The basement includes a servant's room, storeroom and coal bin. The ground floor comprises a vestibule, hall, living room, dining room, kitchen, pantry, maid's room, and two bathrooms. The second floor contains four bedrooms and a bathroom. Roughcast finishes the wood-frame construction on both floors."	"SC075, Acc. 1980-067, AP1559"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/3411	3411	3412.jp2	/collection35/image/3412.jp2
																				
"Plan of house on Rockland Avenue for B. Wilson, Esq."	"Item is an architectural drawing by Samuel Maclure prepared for Biggerstaff Wilson of Victoria, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	[1905]	"1770 Rockland Avenue, Victoria, B.C."	1 of 8 drawings: ink on linen; 47 x 75 cm or smaller	architectural drawings AAT	Still Image	eng	"Plans, elevations and details. Some drawings are annotated in pencil. Two-storey house with part basement and attic. The basement includes a furnace room, fuel bin, servant's room, laundry room and water closet. The ground floor comprises a vestibule with an adjacent cloak room, hall, drawing room, sitting room, lavatory, conservatory, veranda, dining room, kitchen, pantry and larder. The second floor consists of the upper hall, five bedrooms, two bathrooms and a balcony. The exterior walls of the ground floor are faced with stone and sheathed in shingles. The second floor is finished in half timbering. Drawings AP1852-AP1858 are signed by G. Calder and B. Wilson. "	"SC075, Acc. 1980-067, AP1857"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/3654	3654	3655.jp2	/collection35/image/3655.jp2
																				
"Additions and alterations to ""Clovelly"", Victoria West, B.C."	"Item is an architectural drawing by Samuel Maclure prepared for Sir Frank Barnard of Victoria West, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	1912-1928	"Clovelly, 730 Sea Terrace, Victoria, B.C."	"1 of 15 drawings: 12 pencil on paper, 3 ink on paper; 71 x 87 cm or smaller"	architectural drawing AAT		eng	"This file includes sketches, presentation drawings, working drawings and a property plan. Drawings show plans, elevations and detail. Additions and alterations to house (at least two floors) and plans for a garden house. On the ground floor a sun room, terrace, vestibule, porch and porte cochere are added. The drawing room is extended by removing the wall separating it from the conservatory. The ceiling of the conservatory is given the same plaster cornice and rib treatment as the drawing room. Plans specify flagstone paving on the terrace and tile paving on the porch and vestibule. Two proposals for a garden house or pavilion are present, and the evidently successful version is for a rustic one-storey structure of wood-frame construction covered with vertical unbarked fir slabs. Includes ""Agreement and general conditions of contract."" (13 p.) signed by Ed Williams for Williams, Trerise & Williams, contractors, and F.S. Barnard (AP208)."	"SC075, Acc. 1980-067, AP207"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/2031	2031	2032.jp2	/collection35/image/2032.jp2
"Additions to house in Old Esquimalt Road for N.A. Yarrow, Esq."	"Item is an architectural drawing by Samuel Maclure prepared for Norman A. Yarrow of Esquimalt, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	3/31/1905	"Old Esquimalt Road, Esquimalt, B.C."	1 of 13 drawings: pencil on paper; 48 x 40 cm or smaller	architectural drawings AAT	Still Image	eng	"Sketches, proposals and contract drawings showing plans, elevations and sections. Additions to the first and second storeys of existing house. On the ground floor a new larder and bedroom are added on. Above the latter is a sleeping balcony open on four sides. In another area of the second floor an existing bedroom is extended, and a new fireplace is built in. Two plans (AP1954 and AP1957) are signed by John E. Shenk and N.A. Yarrow."	"SC075, Acc. 1980-067, AP1952"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/3742	3742	3743.jp2	/collection35/image/3743.jp2
																				
																				
																				
																				
																				
																				
																				
																				
"House additions and alterations and outbuildings at 1630 York Place, Oak Bay, B.C., for Mrs. C.F. Armstrong"	"Item is an architectural drawing by Samuel Maclure prepared for Mrs. C.F. Armstrong of Oak Bay, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	1923-1928	"Oak Bay, British Columbia"	"1 of 34 drawings: 17 pencil on paper, 1 pencil & ink on paper, 11 ink on paper, 4 ink on linen, 1 blueprint; 55 x 84 cm or smaller "	architectural drawing AAT		eng	"Drawings for different projects ranging from proposal sketches to working drawings and a consultant's plan. Plans, elevations and details are represented in most projects. Additions to a two-storey house with basement and various new outbuildings on the grounds. A wing adds a trunk room in the basement, and a laundry on the ground floor. The roof of the latter forms a balcony off the boys' sleeping room on the second floor. Plans specify a rubble stone basement wall and wood-frame walls finished with roughcast. Another addition extends the maid's bedroom and adds a bathroom and closet over the porte cochere. Another bathroom is later added above this extension connecting with the boys' room. Two further second-floor bedrooms are added next to the boys' room (possibly above the first addition described above). A large terrace with rubble stone walls is added across the breadth of the east side of the house, and quarter-turn stairs descend from it. The terrace turns the northeast corner of the house and is surrounded by a two-storey structure next to the laundry addition. A new second-floor bedroom with lavatory and closet is built above a loggia on the ground floor or terrace level. Two sketch plans show wall, window and fireplace treatment of a living room extension. Outbuildings include five different proposals for a garden tea house, two designs for a change house, two proposals for garage additions and a large cruciform greenhouse with attached aviary. This house was originally designed for Judge Peter Secord Lampman in 1905 by F.M. Rattenbury and built in 1907-08. P.L. James and Hubert Savage designed further additions in 1930. Includes four sets of specifications (AP119-AP122). Contractors' signatures on various plans include Leggett & Girardeau (per. H. Leggett) and Hunter & Halket (per E.J. Hunter)."	"SC075, Acc. 1980-067, AP148"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/1974	1974	1975.jp2	/collection35/image/1975.jp2
Proposed addition to Jericho Country Club	"item is an architectural drawing by Maclure & Fox prepared for Jericho Golf and Country Club of Vancouver, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	1911-1913	"Point Grey, Vancouver, B.C."	"1 of 34 drawings: 21 pencil on paper, 4 pencil & ink on paper, 4 ink on linen, 5 blueprints; 68 x 92 cm or smaller"	architectural drawings AAT		eng	"Plans, elevations, sections, details and heating. A detailed item list is available. Plans for a new clubhouse call for a one-storey structure with attic and basement. The ground floor comprises a lounge room, dining room, ladies' sitting room, smoking room, office, bar, kitchen, pantry, larder, storeroom, maid's room, housekeeper's sitting room, men's and ladies' locker rooms, lavatories and drying rooms. A large veranda extends across one side of the building on this level, and a pergola across part of another side. The attic consists of eleven bedrooms, a box room and three bathrooms. Part of this attic plan may have been cancelled. The file contains a sketch plan of proposed additions by the architect R.P.S. Twizell (AP952, dated Dec. 1911). Maclure and Fox prepared four plans (AP948-AP951) for a proposed addition which includes a dressing room, smoking room, shop and toilets. It is not clear whether these latter plans preceded their plans for a new clubhouse. The heating plans (AP958-AP960) were prepared by Francis H. Sprague, consulting engineer."	"SC075, Acc. 1980-067, AP963"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/2795	2795	2796.jp2	/collection35/image/2796.jp2
"House for R.W. Gibson Esq., York Place, Oak Bay, Victoria, B.C."	"Item is an architectural drawing by Maclure & Lort prepared for Robert W. Gibson of Victoria, B.C."	Maclure & Lort (Firm)	Architecture	1919-1922	"1590 York Place, Oak Bay, B.C."	"1 of 103 drawings: 70 pencil on paper, 12 ink on paper, 21 blueprints; 135 x 92 cm or smaller"	architectural drawings AAT	Still Image	eng	"Plans, elevations, sections and details. Blueprints have heating system details and miscellaneous amendments added by hand. A detailed item list is available. Two-storey house with basement and attic. The basement comprises a tool room, lavatory, fuel room, furnace room, billiard room, two bedrooms, bathroom, laundry room and storeroom. The ground floor includes a porch, vestibule, coat room and adjoining lavatory, hall, drawing room, ingle, library, sun room, lavatory, dining room, kitchen, pantry, larder and servant's room. A large terrace extends the full length of the east side of the first floor. The second floor contains five bedrooms, boudoir, dressing room, three bathrooms, sleeping balcony and three other balconies. The attic consists of two bedrooms, a bathroom and box room. The exterior walls of concrete blocks are finished in roughcast. The working drawings are signed by R. Moncrieff, Robt. W. Gibson and S. Jane Gibson."	"SC075, Acc. 1980-067, AP679"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/2511	2511	2512.jp2	/collection35/image/2512.jp2
"Additions to residence at Long Harbor, B.C., for F.E. Abbot, Esq."	"Item is an architectural drawing by Samuel Maclure prepared for F.E. Abbot, Esq. of Long Harbour, Saltspring Island, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	4/11/1905	"Long Harbour, Saltspring Island, B.C."	"1 of 23 drawings: 12 pencil on paper, 11 pencil & ink on paper; 66 x 91 cm or smaller"	architectural drawings AAT	Still Image	eng	"Plans, elevations and details. A ground plan of the driveways may not be of the Abbot house site. Additions and alterations to a one-storey house, probably of log construction. The existing structure comprises a living room, bedroom, dining room and breakfast room, although this is probably not the original layout. Alterations to this area include new windows, bathroom and bedroom closet. A two-storey addition of wood-frame construction is covered with unbarked wood slabs to harmonize with the original structure. Three porches, an entry hall with adjoining lavatory, a kitchen and pantry make up the ground floor addition, and three bedrooms, a bathroom, hall and linen room are on the second."	"SC075, Acc. 1980-067, AP21"		"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/1840	1840	1841.jp2	/collection35/image/1841.jp2
																				
																				
"House for W.F. Huntting, Esq., Shaughnessy Heights, Vancouver, B.C."	"Item is an architectural drawing by Samuel Maclure prepared for W.F. Huntting of Vancouver, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	1911-1913	"3689 Angus Drive, Vancouver, B.C."	"1 of 25 drawings: 3 pencil on paper, 3 ink on paper, 19 ink on linen; 74 x 73 cm or smaller"	architectural drawings AAT		eng	"The file consists of the contract drawings (AP911-AP922, AP927), consultant's drawings (AP905-AP910) and full-scale shop drawings. A block plan, building plans, elevations, section, details and heating and electrical plans are included. Two-storey house with basement and attic. The basement includes a servant's room, bathroom, laundry, wood and coal bins, store room and wine cellar. The ground floor comprises a vestibule, hall, lavatory, drawing room, living room, dining room kitchen, pantry, larder, servant's hall and veranda. The second floor (called ""first floor"" on the drawing) consists of four bedrooms, two bathrooms and a balcony. Two bedrooms, two box rooms and a bathroom make up the attic. The two-bay garage has an unfinished attic. There is a later plan for a greenhouse to be attached to the garage. The contract drawings are inscribed: ""This is one of the drawings referred to in our contract dated Feb [blank] 1912, Vancouver, B.C. [Signed] Macpherson & Sinclair [per] J.M.S."" The heating and electrical plans were prepared by Erwin L. Weber, consulting domestic engineer."	"SC075, Acc. 1980-067, AP914"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/2746	2746	2747.jp2	/collection35/image/2747.jp2
"Additions to house in Old Esquimalt Road for N.A. Yarrow, Esq."	"Item is an architectural drawing by Samuel Maclure prepared for Norman A. Yarrow of Esquimalt, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	3/31/1905	"Old Esquimalt Road, Esquimalt, B.C."	1 of 13 drawings: pencil on paper; 48 x 40 cm or smaller	architectural drawings AAT	Still Image	eng	"Sketches, proposals and contract drawings showing plans, elevations and sections. Additions to the first and second storeys of existing house. On the ground floor a new larder and bedroom are added on. Above the latter is a sleeping balcony open on four sides. In another area of the second floor an existing bedroom is extended, and a new fireplace is built in. Two plans (AP1954 and AP1957) are signed by John E. Shenk and N.A. Yarrow."	"SC075, Acc. 1980-067, AP1953"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/3743	3743	3744.jp2	/collection35/image/3744.jp2
"Plan of house for Mrs W.H. MacInnes, Lot 12, Marlborough St., Victoria, B.C."	"Item is an architectural drawing by Samuel Maclure prepared for Mrs. W.H. MacInnes of Victoria, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	4/4/1905	"28 Marlborough Street, Victoria, B.C."	1 of 6 drawings: ink on paper; 46 x 70 cm or smaller	architectural drawings AAT		eng	"Plans, elevations and details. Two-storey house with basement. The ground floor comprises a porch, hall, living room, dining room, kitchen, two bedrooms and bathroom. The second floor or attic contains two bedrooms and a bathroom."	"SC075, Acc. 1980-067, AP1122"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/2955	2955	2956.jp2	/collection35/image/2956.jp2
"House for Capt. Clive Phillips-Wolley [sic], Somenos, B.C."	"Item is an architectural drawing by Samuel Maclure prepared for Sir Clive Phillipps-Wolley of North Cowichan, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	3/25/1905	"3437 Drinkwater Road, North Cowichan, B.C."	"1 of 12 drawings: 2 pencil on paper, 10 ink on linen; 50 x 76 cm or smaller"	architectural drawings AAT	Still Image	eng	"The contract drawings (AP1442-AP1449, AP1452) and other drawings show plans, elevations, sections and details of the house and a gate lodge. Two-storey house with part basement. The basement includes a servant's room, water closet, storeroom and furnace room. The ground floor comprises a vestibule with adjoining lavatory, living hall, library, boudoir, dining room, conservatory, kitchen, pantry, larder and two verandas. The second floor consists of the upper hall, four bedrooms, dressing room, bathroom and sleeping balcony. The basement wall is faced in stone. The outer walls on the first storey are finished in half timber and possibly roughcast. The second floor is entirely finished in half timbering. Leaded glass windows are specified throughout. The first contract drawing (AP1442) is inscribed: ""This is one of the drawings referred to in the contract."" All contract drawings are signed: ""James Bryson [stamped] The Westholme Lumber Co., Ltd. [and signed] C Phillipps Wolley""."	"SC075, Acc. 1980-067, AP1446"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/3298	3298	3299.jp2	/collection35/image/3299.jp2
"Alterations and additions to house in Laurel Lane, Victoria, B.C., for Mrs. E.C. Hart"	"Item is an architectural drawing by Samuel Maclure prepared for Mrs. E.C. Hart of Victoria, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	4/7/1905	"The Eyrie, 1513 Laurel Lane, Victoria, B.C."	1 of 3 drawings: pencil on paper; 70 x 73 cm or smaller	architectural drawings AAT		eng	"Plan, section and details. A living room is created or enlarged by removing a partition. A fireplace, mantel and hearth are installed."	"SC075, Acc. 1980-067, AP819"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/2650	2650	2651.jp2	/collection35/image/2651.jp2
																				
Additions to no. 1009 Terrace Av. for Miss Finlayson	"Item is an architectural drawing by Samuel Maclure prepared for Sarah S. Finlayson of Victoria, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	1911-1912	"Craigmont, 1009 Terrace Avenue, Victoria, B.C."	1 of 7 drawings: ink on linen; 43 x 51 cm or smaller	architectural drawings AAT	Still Image	eng	"Two sets of drawings showing plans and elevations for alterations to a two-storey house with basement which Maclure designed for H.A. Munn about 1900 (see file 205). The first set (AP526-AP528) is dated Nov. 1911. The second set (AP529-AP531.1), dated Jan. 1912, appears to show some of the work executed from the earlier plans as well as what appear to be further alterations. In the first set of drawings the altered basement contains two servants' rooms, a sewing room, spare room and corridor. The second set shows only one servant's room, sewing room, spare room and a coal bin and chute. The first floor comprises a vestibule, hall, den, drawing room, kitchen, pantry, dining room, laundry and watercloset. A new stairway descends from the terrace which adjoins the house on this level. The second floor includes four bedrooms, a bathroom and two balconies, including a new sleeping balcony, which appears to be absent in the second set of drawings. The first set of drawings is signed ""A.J. Thompson [and] S.S. Finlayson""."	"SC075, Acc. 1980-067, AP53.1"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/2365	2365	2366.jp2	/collection35/image/2366.jp2
																				
"House for E. McGaffey, Esq. at Gordon Head, Saanich, B.C."	"Item is an architectural drawing by Samuel Maclure prepared for E. McGaffey of Saanich, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	5/1/1913	"Gordon Head area, Saanich, B.C."	1 of 4 drawings: ink on linen; 30 x 60 cm	architectural drawings AAT		eng	"Plans, elevations, section and detail. Two-storey house with part basement. The ground floor comprises a hall, living room and adjacent veranda, dining room, kitchen, pantry, two bedrooms, bathroom and water closet. The second floor or attic contains two bedrooms. The wood framing is covered with vertical bark slabs. Leaded glass windows are specified throughout."	"SC075, Acc. 1980-067, AP1120"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/2953	2953	2954.jp2	/collection35/image/2954.jp2
"House at Elk Lake, Saanich, for H.C. Oldfield, Esq."	"Item is an architectural drawing by Samuel Maclure prepared for H.C. Oldfield of Saanich, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	1911-1914	"Norfolk Lodge, 5789 Brookhill Road, Saanich, B.C."	"1 of 12 drawings: 2 pencil on paper, 9 ink on linen, 1 blueprint; 41 x 74 cm or smaller"	architectural drawings AAT		eng	"The blueprint (AP1369, undated) shows floorplans of the original house, which is altered according to the next drawing (AP1370, dated Apr. 1911). The latter shows plans, elevations and details. These are followed by a sketches and drawings (AP1371-AP1379, AP2148, dated Oct. 1913 Jan. 1914) for what are evidently three proposals for houses. The last consist of plans, elevations and details. The original house, as altered, has a basement and two floors. The ground floor comprises a hall, living room, conservatory, dining room, kitchen, pantry, larder and lavatory. The second floor consists of five bedrooms, a bathroom and two balconies. The first floor is finished in shiplap and the second in shiplap and half timbering. The second of the three later proposals (AP1372-AP1372), for which only elevations remain, is a one-storey structure with a basement. The walls are faced in stone and half timbering, and leaded glass windows are called for throughout The third proposal is for a one-storey house with a basement and probably an attic. The basement includes a water closet and laundry area. The ground floor comprises a hall, living room, veranda, dining room, kitchen, pantry, two bedrooms and bathroom. It is finished in roughcast with leaded glass windows liberally specified. Drawings for later additions and alterations were prepared for J.H. Oldfield (see file 139)."	"SC075, Acc. 1980-067, AP1370"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/3208	3208	3209.jp2	/collection35/image/3209.jp2
